gene,log2FC,pVal,adj.p,-Log10(adj.P),expression
CHAC1,2.12945196150847,0.000136981684069498,0.00030646513228176,3.51361892969051,Up-regulated
GPAM,2.02409144514956,9.56479768999907e-07,3.47336537602115e-06,5.45924952925952,Up-regulated
PDE1B,1.91076276132798,0.000246256113937825,0.000523234702438493,3.2813034600627,Up-regulated
PTGR2,1.8843295083873,1.3396757075795e-05,3.75416776728592e-05,4.42548632340927,Up-regulated
ENTPD7,1.84176988980512,0.00036365090087803,0.000744586234137028,3.12808499725218,Up-regulated
SPON1,1.68761920995254,0.0085379874542303,0.013256507729289,1.8775708706263,Up-regulated
SBF2,1.67187087582994,9.50775256193939e-06,2.76303338341016e-05,4.55861386783657,Up-regulated
AGPAT4,1.66531347639383,2.94679441377337e-08,1.53052182672816e-07,6.81516047256125,Up-regulated
PITPNM2,1.65944833295249,3.87539038616348e-08,1.95770950247506e-07,6.70825175116003,Up-regulated
LIPC,1.64109920195283,0.000368526457956905,0.000752465267780037,3.12351354139471,Up-regulated
NNMT,1.61862633865764,0.0227650502301901,0.0325405434975456,1.48757519768024,Up-regulated
ENPP4,1.60542404330027,0.00140882565042016,0.00256224333938171,2.59137962715487,Up-regulated
ME3,1.6053811117564,0.015360700101455,0.022649300753622,1.64494520131257,Up-regulated
FECH,1.59045546149143,7.91931096455525e-07,2.9340179071042e-06,5.53253723986806,Up-regulated
MTMR1,1.57089493596542,5.79087224940454e-08,2.82096370996492e-07,6.54960250075118,Up-regulated
CTPS2,1.55409597201178,0.000666276467129259,0.00128743130895601,2.89027593350013,Up-regulated
CMPK2,1.53102254408273,2.06675595048016e-08,1.11018650934105e-07,6.95460405439052,Up-regulated
PLEKHA8,1.52939520476387,0.00010916561722091,0.000250613229920939,3.6009960062469,Up-regulated
MTMR10,1.52939520474425,5.13931280242393e-05,0.000127151691744655,3.89567785719114,Up-regulated
GEMIN4,1.51899649752822,0.000312187641768762,0.00064888954490631,3.18782922326161,Up-regulated
NUDT19,1.51899649752179,0.000589278936385681,0.00115387328274451,2.93784188236445,Up-regulated
RRP36,1.50331549195919,3.92548579690773e-11,3.7660665047189e-10,9.42411201507415,Up-regulated
CSF2RB,1.49346319553649,4.81654089619624e-07,1.89640508045576e-06,5.72206888987969,Up-regulated
VDR,1.48954929621337,3.53949172308766e-12,4.2262300628389e-11,10.3740468649974,Up-regulated
DSE,1.48313608137866,1.93896264703942e-06,6.52358489363799e-06,5.18551368161981,Up-regulated
HMOX1,1.46370375588262,6.59624993176275e-07,2.50725970589667e-06,5.60080067880755,Up-regulated
TSPOAP1,1.45499691470831,5.00687118690749e-05,0.000124154582366092,3.90603724663232,Up-regulated
NOL6,1.44872480339601,8.71503422546946e-05,0.000205659830218651,3.68685052706079,Up-regulated
AHR,1.4484555994766,4.80744811414864e-30,1.17355150075384e-27,26.9304978468388,Up-regulated
GALNS,1.44042849887408,1.49484299786938e-10,1.25350002531261e-09,8.90187565293582,Up-regulated
PLD2,1.43630478168296,0.00939143898757022,0.014469138468227,1.83955732718324,Up-regulated
GCNT1,1.42007204593261,1.19487450948921e-14,2.24370880115196e-13,12.6490335084939,Up-regulated
