gene,log2FC,pVal,adj.p,-Log10(adj.P),expression
CYSLTR2,2.1560326239952,0.0024234036180813,0.0249963274597406,1.60212379457325,Up-regulated
DGKH,1.8645981703276,9.047548667269331e-09,2.8396377745701e-07,6.54673705521297,Up-regulated
POLE,1.79935789124086,0.0039814876041151,0.0373817447275256,1.42734043254911,Up-regulated
ACAD11,1.72703698691345,0.0009581883033084,0.0116306060904351,1.93439765286631,Up-regulated
DGKD,1.71547616447844,9.60044500202921e-05,0.0016608013912959,2.77968230001186,Up-regulated
EXT1,1.70404746866598,0.0047288468102698,0.0427542240418225,1.36902097128832,Up-regulated
AGPAT4,1.66582625583462,0.0007637119369538,0.0096987001473278,2.01328646745236,Up-regulated
PAN2,1.6170360916652,0.0022854697433774,0.0240247704602884,1.6193407530166,Up-regulated
B3GALNT2,1.58424641859601,0.0006580239698711,0.0085039921282753,2.07037715048948,Up-regulated
PNPLA6,1.55107865499543,3.23219320662702e-06,7.89014274995506e-05,4.10291513938159,Up-regulated
SMG6,1.47727431203966,1.65939948147372e-05,0.0003574216334115,3.44681916479366,Up-regulated
MBOAT1,1.41069978843341,0.0003009332689541,0.0042931843629363,2.3672204611393,Up-regulated
MAN2C1,1.37970790538855,7.82684702666247e-06,0.0001810061359745,3.74230670261867,Up-regulated
PRKCA,1.36110338356985,0.0032163846143442,0.0318306171068216,1.49715494153956,Up-regulated
PHKB,1.33595470324599,8.20302715310842e-06,0.0001877296943268,3.72646702699334,Up-regulated
TSC2,1.33562363223674,0.0001305396346099,0.0021244116832443,2.67276131883519,Up-regulated
EZH1,1.31384983267745,0.0003142161209086,0.0044537601137828,2.35127317842592,Up-regulated
PGAP1,1.31327968289775,0.0007916229555773,0.0099953772034685,2.00020081192167,Up-regulated
SERINC5,1.27858170798129,0.000990367364074,0.0119551488948939,1.92244501061235,Up-regulated
SETD7,1.25620314096871,0.0001606068377251,0.0025180014687449,2.59894402090503,Up-regulated
SESN2,1.23783891040314,0.0002077976420206,0.0031155206394258,2.50646936732397,Up-regulated
MYO5A,1.22127979782769,4.4874304589899e-06,0.0001071617904174,3.96996003898039,Up-regulated
SMG5,1.17795437316531,0.0001091310562252,0.0018586118645487,2.73081129483502,Up-regulated
MED13,1.1509463748414,0.0001492383354496,0.0023613401902799,2.62684144107948,Up-regulated
EXOC4,1.14374838790568,6.73434631321154e-05,0.0012227569297624,2.91265986721118,Up-regulated
ACSF3,1.13854584860421,0.0002349890556607,0.0034649057401791,2.46030857550437,Up-regulated
CHERP,1.13323914648626,3.68544816590454e-05,0.0007229401446868,3.14089765831863,Up-regulated
FAM98B,1.11248008091981,0.0047616049469751,0.0428739592971494,1.36780640868657,Up-regulated
NOL9,1.10621046790639,0.0049333096278224,0.0438804909001051,1.35772852252818,Up-regulated
NXF1,1.10621046789921,0.0001366190012038,0.0021908901141955,2.65937940427192,Up-regulated
EP300,1.09230756289759,1.46380475696346e-05,0.0003215979051048,3.49268678891723,Up-regulated
TAZ,1.07989316227379,7.5304959941169e-05,0.001356106532711,2.86770619192087,Up-regulated
FOXO3,1.06219364509026,0.0041392437057137,0.0386975251976727,1.41231680829793,Up-regulated
TUT7,1.05583426057412,1.73132920026507e-05,0.0003657432935559,3.43682362856103,Up-regulated
KHSRP,1.0468945165534,0.0054593245132017,0.0475957776012073,1.32243157345248,Up-regulated
PDE3B,1.04649123224214,0.0001192502393179,0.0020153290444737,2.69565403610712,Up-regulated
GXYLT1,1.04558584748236,0.0005759453668723,0.0076226022350514,2.11789674212546,Up-regulated
PARP14,1.02326134884974,5.45341426063917e-05,0.0010068194227415,2.9970484149869,Up-regulated
ITPR2,1.00185045271541,0.0018175723135314,0.0199660318641432,1.69970824012413,Up-regulated
