cluster,sum_value,P.Val,Sig,adj.P,-log(adj.P),FC,log2FC
5,5.63954401620612,6.07350322719245e-06,Sig,3.03675161359622e-05,4.51759072907484,1.2501663590116,0.322120086368677
6,4.56045383729683,0.362513580064808,N.S.,1,0,1.01095513268984,0.0157189702555354
8,5.071640345413,0.00240874653813448,Sig,0.0103231994491478,1.98618568180137,1.12427425455342,0.168994008353363
9,4.89490623833402,0.0146071019636499,Sig,0.0547766323636871,1.26140467143994,1.08509608083491,0.117822793090909
12,11.9831849297878,1.26353707027369e-23,Sig,1.26353707027369e-22,21.8984120120115,2.65641594958482,1.4094810658938
13,16.1133854855442,2.04622457892095e-29,Sig,3.06933686838142e-28,27.5129554439076,3.57199312673595,1.83672930441392
15,6.42783569561236,1.54767819028588e-18,Sig,1.16075864271441e-17,16.9352580740032,1.42491377402432,0.510874619943143
16,9.44396605634358,5.03524031945641e-60,Sig,1.51057209583692e-58,57.8208585421041,2.09352540300426,1.06593442396115
20,3.80531656272797,0.999999494953517,N.S.,1,0,0.843557340529903,-0.245441956325356
21,4.46860241838517,0.587735444656874,N.S.,1,0,0.990593636508438,-0.0136347416388455
22,5.67136269385593,1.45170392662408e-14,Sig,8.71022355974447e-14,13.0599706980902,1.25721987969904,0.330236989941366
24,4.96353326130783,0.0323500294434643,Sig,0.107833431478214,0.9672465744405,1.10030922487535,0.13790902784189
26,3.68852859022571,0.992315548612238,N.S.,1,0,0.817667943454551,-0.290413014056652
27,4.6009275720831,0.378566025015035,N.S.,1,0,1.01992729453625,0.0284663134217603
32,2.18823606434967,1,N.S.,1,0,0.485085160318735,-1.04369004947551
33,2.17143018014744,1,N.S.,1,0,0.481359655029175,-1.05481286692726
35,2.8255532066035,1,N.S.,1,0,0.626364747635999,-0.674925076131135
37,2.09975451577555,0.999999998857136,N.S.,1,0,0.465470692357718,-1.10323776130579
38,2.93001939257484,0.999999994585469,N.S.,1,0,0.649522668024653,-0.622548218981586
41,2.5274976389825,1,N.S.,1,0,0.560292199450347,-0.83574868779604
42,2.78751014284114,1,N.S.,1,0,0.617931413598218,-0.694481377717074
44,3.34362350234411,0.999999999999999,N.S.,1,0,0.741209858069911,-0.432046025591806
45,3.51983743441628,0.999999999998423,N.S.,1,0,0.780272720108531,-0.357949633501376
49,3.53573907837432,0.999999999333888,N.S.,1,0,0.783797774664749,-0.351446617998132
50,4.08790666270634,0.991494986146825,N.S.,1,0,0.906201525124875,-0.142096175997833
52,2.54101461542591,1,N.S.,1,0,0.563288624192586,-0.828053758738027
53,3.36226475017091,0.999999999958058,N.S.,1,0,0.745342224242796,-0.424025103066233
55,3.44414698943699,1,N.S.,1,0,0.763493766395285,-0.389311716813921
57,2.75953634976504,1,N.S.,1,0,0.611730221633548,-0.709032542820495
58,3.42896261598853,0.999996983030533,N.S.,1,0,0.76012771537886,-0.395686256773499
