gene,log2FC,pVal,adj.p,-Log10(adj.P),expression
FHIT,2.19453354247595,2.49778597890264e-27,1.37378228839645e-25,24.8620820871016,Up-regulated
FBP1,1.41942932089727,0.000332071511066138,0.00332071511066138,2.47876838160574,Up-regulated
GSTM2,1.34690195981321,2.66569447329683e-08,4.60438136296725e-07,6.3368287126328,Up-regulated
DHRS4L2,1.31053427601823,0.000345793975202573,0.00344147337225418,2.46325558636822,Up-regulated
TNFAIP8L2,1.26780937057908,3.0381932793019e-06,4.40959996787567e-05,4.35560080727236,Up-regulated
MARS2,1.24154188485294,0.000732396244056641,0.00672916300578728,2.17203895131448,Up-regulated
MRM1,1.22501789334439,0.0219739186767714,0.112013390327932,0.950730057705457,NS.
SETMAR,1.21337332775448,0.00208634599129683,0.0163313225535969,1.78697864352596,Up-regulated
MORC2,1.19805633183937,0.00511363195528798,0.0357441163429829,1.44679543498365,Up-regulated
ATP5PO,1.193403808189,1.73594265185005e-19,5.49715173085848e-18,17.2598622755929,Up-regulated
BYSL,1.1895817067399,0.0146457047210587,0.0814083054973744,1.08933128494282,NS.
TRMT5,1.1874742318135,0.00686032289579165,0.0450882856987564,1.34593627668553,Up-regulated
NAGLU,1.16458040277517,0.0134072794939371,0.0757650519068732,1.12053107489536,NS.
OXSM,1.16010112362613,0.000312720178320697,0.00315741629318964,2.50066815427626,Up-regulated
MOCS3,1.15057907357681,0.00314145105751066,0.0235327337283056,1.62832761918368,Up-regulated
ACAD10,1.12821360436333,0.0274640504101732,0.132870058697366,0.876572873139356,NS.
PHGDH,1.12821275928836,0.0196379728957588,0.102906230085904,0.987558331651318,NS.
PPAT,1.11637830101876,7.33294311498063e-05,0.000842079731335687,3.0746467858878,Up-regulated
AK5,1.11637830097681,4.34593685979008e-05,0.000528081862614028,3.27729874844014,Up-regulated
MTFMT,1.09844060041563,0.000120288093479407,0.00131624144173801,2.88066443959984,Up-regulated
U2AF1L4,1.04885710161713,6.2637408866149e-12,1.37802299505528e-10,9.86074353530046,Up-regulated
RPL36A,1.04713269646991,2.06026135738304e-51,1.43531541231018e-48,47.8430526517009,Up-regulated
SLC22A5,1.04542656642679,0.0469745392624846,0.19557128896134,0.708694901904656,NS.
PNPLA4,1.04087074963147,0.003027741242071,0.022927460854813,1.63964403937401,Up-regulated
PCYOX1,1.02106813374196,0.00167202361737992,0.0137117998223344,1.86290553561123,Up-regulated
RRP36,1.02030447072878,0.000425766509190509,0.00413884653120077,2.38312067697888,Up-regulated
NME1,0.990900642982481,2.12412789005019e-05,0.000269056199406357,3.57015699678993,NS.
LIAS,0.986194753339336,0.00159611741092846,0.0131853177424525,1.87990940002822,NS.
GALNT2,0.982030248266336,0.0002849622260929,0.0029052246465081,2.53682028015257,NS.
ACYP1,0.961027860779318,0.00097449670802266,0.00866680050964833,2.06214119980813,NS.
IDNK,0.953859372674737,0.00526834091263188,0.0367027750246688,1.43530109835447,NS.
MMAB,0.953859371348296,0.000466485076300645,0.00449287469801082,2.34747569329687,NS.
PPIP5K1,0.95385937130483,0.0757484079896411,0.271450613344856,0.566309172715299,NS.
RPS10,0.945647566614316,1.08426490771181e-45,3.23730522445384e-43,42.489816351865,NS.
GSPT2,0.943909971346846,0.0511843570834042,0.208017381441349,0.681900374899342,NS.
STARD10,0.933240084162483,0.00199739159150328,0.0157530129292146,1.80263637054789,NS.
HSD17B4,0.921069548493264,0.00246633796527562,0.0192337550277091,1.71593591968181,NS.
PCTP,0.921069548491594,0.130118709306257,0.377181834188733,0.423449231898579,NS.
LIPT2,0.921069548476921,0.143507218678864,0.398843200849502,0.399197807044396,NS.
VAMP2,0.908855787433147,1.060835129129e-10,2.17367198027414e-09,8.6628059928648,NS.
PIGS,0.901673618222358,0.00108195245100968,0.00942001159111688,2.025948562817,NS.
KIF5C,0.89323474950579,0.0861125404258321,0.295525795550064,0.529404604880512,NS.
HDDC3,0.886720068491962,0.000287602193294465,0.00291790574750209,2.5349287405443,NS.
NDUFA11,0.878221969412781,3.02054443821255e-13,7.34062543705143e-12,11.134266935685,NS.
RPL41,0.875557070454938,6.14296818558057e-56,6.41940175393169e-53,52.1925054434378,NS.
TM7SF2,0.872279384378229,0.00705631170254861,0.0460865358072706,1.33642593531937,NS.
FXN,0.858549191537384,0.0932095921135987,0.309219123043526,0.509733655842099,NS.
HMGCL,0.853511530539204,0.0196457348345816,0.102906230085904,0.987558331651318,NS.
AACS,0.847249636246322,0.102524993303841,0.329657286161581,0.481937320937117,NS.
NUDT2,0.837929904292576,0.000139341294359165,0.00150892904254225,2.82133118246226,NS.
SLC27A5,0.831641738576125,0.0120842688573359,0.069308791488948,1.15921167371469,NS.
PLPP1,0.8300340211872,0.0118688499342995,0.0685245755875305,1.16415364561793,NS.
UBIAD1,0.828699181778405,2.86356535772974e-05,0.000354133230630483,3.45083331864627,NS.
UROD,0.828031399895055,0.000165449371931473,0.00176423054763662,2.75344466238789,NS.
LTC4S,0.825026499930852,0.161735072188226,0.422382627965133,0.374293952060487,NS.
SRSF5,0.82107826006586,4.44587034761231e-20,1.49868855266286e-18,17.8242886099225,NS.
PIGU,0.820331190411082,0.0337582051583124,0.155749776558218,0.807572567715999,NS.
RIDA,0.818940430326431,0.019724152218715,0.103058695342786,0.986915359730711,NS.
CDK7,0.818059399680869,0.00910109940967503,0.0562760288941444,1.24967655605264,NS.
EXOSC7,0.815841969408719,6.79235838446647e-05,0.00078431099577541,3.10551169628519,NS.
GTF2H4,0.814097428928471,0.0250285306433664,0.124546735820561,0.904667650172394,NS.
POMGNT1,0.792591223704017,0.0306448968125803,0.144879280501181,0.838993719479908,NS.
NOSIP,0.79208988081021,3.21501024317929e-19,1.0028912549619e-17,16.9987461556439,NS.
DERA,0.789556320010705,0.00387374441038683,0.0283081322297499,1.54808878443471,NS.
PIGC,0.788609798404912,1.72236248990102e-05,0.00022498360024332,3.6478491378149,NS.
KHK,0.785524679432179,0.192147794660164,0.458958732388278,0.338226362614757,NS.
