gene,log2FC,pVal,adj.p,-Log10(adj.P),expression
BGN,2.05531667701539,7.07344195941315e-06,0.000145765789911271,3.8363443895713,Up-regulated
SLC27A2,2.00885355230149,5.18988111237746e-08,2.01274343620996e-06,5.69621158096806,Up-regulated
HPGD,1.62879815970423,0.0316838271971342,0.148619914645611,0.827922992451532,NS.
LFNG,1.56365885716378,2.01042750767283e-06,4.81847027654194e-05,4.31709081568261,Up-regulated
POMT2,1.51099771150877,0.00344540031588334,0.0261068993007655,1.58324470598375,Up-regulated
PTGR1,1.44647659603083,0.226189585416523,0.52697873466319,0.278206909654189,NS.
PPARG,1.42627425138074,1.27609870056437e-11,1.65517507926144e-09,8.78115606114169,Up-regulated
IL4I1,1.28787157274802,0.00798486942490883,0.0528727840298017,1.27676782110714,NS.
CTSH,1.26060446854549,1.14812258181437e-07,4.21935048816783e-06,5.3747543976437,Up-regulated
ADCY3,1.22333305181678,0.0144575235931642,0.0852295154837332,1.06940998044558,NS.
DGKQ,1.22333305181678,0.0144575235931642,0.0852295154837332,1.06940998044558,NS.
RXRA,1.22333305161487,0.0195669977660625,0.106621254985255,0.972156209918696,NS.
DDAH2,1.17114729844022,0.000304139316488957,0.00374652063049245,2.42637187158467,Up-regulated
UPP1,1.16807096909518,4.94969763433505e-08,1.98437877885614e-06,5.70237542599937,Up-regulated
APOE,1.13945156762781,0.000934476014036004,0.00928161986914139,2.03237622218233,Up-regulated
APOBEC3H,1.07569702955189,0.000109329084456994,0.00155529439501724,2.80818739311287,Up-regulated
CMPK2,1.0637028929242,0.00103976526627955,0.0100999225204687,1.99568195780765,Up-regulated
GNGT2,1.05148279468389,0.0767107552623232,0.272945228517989,0.563924493394732,NS.
ABCB1,1.05148279468384,0.132274972466191,0.388205803750382,0.410937976114261,NS.
FAH,1.04101149492928,0.000326316803019591,0.00395345357504504,2.40302335670716,Up-regulated
ENTPD5,1.00021680304225,0.0253903387527968,0.128702751609005,0.890412167968709,NS.
ACP6,0.967400331329002,0.0373629352791895,0.167449740428075,0.776115521344432,NS.
ALAS2,0.951399336030103,0.461124596536104,0.733510103774563,0.134593899566687,NS.
TXN,0.936137478803449,3.31494428881055e-21,3.65472607841363e-18,17.4371451678419,NS.
