gene,log2FC,pVal,adj.p,-Log10(adj.P),expression
OAZ1,1.18306991363284,5.50872687099481e-58,5.96271240207177e-57,56.2245561373598,Up-regulated
SECISBP2,1.18301170227091,6.68561139153926e-11,1.33960994766284e-10,9.87302163614035,Up-regulated
MED28,1.18237744281139,1.76431033047764e-17,5.11483775484366e-17,16.2911681377668,Up-regulated
PSME1,1.18105807460936,1.06296562693982e-128,2.08147996402579e-126,125.681627765202,Up-regulated
RPL32,1.18071706887423,2.84017923855956e-74,5.51148295482639e-73,72.2587315313759,Up-regulated
POLE4,1.18036766329017,5.1556553783826e-14,1.23529273470925e-13,12.9082301128465,Up-regulated
MAT2A,1.18030171304018,9.00804150685877e-16,2.39843280664694e-15,14.6200724440154,Up-regulated
RPL28,1.17833945657994,3.7829426617345e-86,1.25360899898094e-84,83.9018378989631,Up-regulated
NUP160,1.17788112667181,7.30332197526044e-06,1.04250202350636e-05,4.98192309338366,Up-regulated
MTHFS,1.17765279023367,2.16746428948402e-09,3.93320815463232e-09,8.40525306909596,Up-regulated
HSPA8,1.17742793525641,8.02804031667926e-44,5.6327032059046e-43,42.2492831316749,Up-regulated
PIGP,1.17740820737599,8.18200957159657e-09,1.42359035680283e-08,7.84661496250684,Up-regulated
AMD1,1.17642831263418,1.14163979361324e-18,3.50797734014683e-18,17.4549432206312,Up-regulated
PAFAH1B1,1.17603468823364,1.31550555203731e-19,4.22925217774383e-19,18.3737364183912,Up-regulated
GNL3,1.17504694513626,3.98364454755943e-10,7.56681689192505e-10,9.12108677532128,Up-regulated
LIPT1,1.17504693234942,0.00388291888184209,0.00454554743015644,2.34241380626391,Up-regulated
TPK1,1.17504692552718,0.00310282961263976,0.00366419681229498,2.4360212074392,Up-regulated
NR1H2,1.17492280220834,4.03952142802383e-20,1.33863525476359e-19,18.8733377414514,Up-regulated
DCP2,1.17487541355827,1.30818362261734e-13,3.0728762520368e-13,12.5124549288877,Up-regulated
NUP188,1.17432149923374,4.20873281441659e-05,5.66955002017095e-05,4.24645140874584,Up-regulated
CRNKL1,1.17282963012618,5.20992045419691e-10,9.80958798805957e-10,9.00834923301453,Up-regulated
C2orf49,1.17247733317875,4.18361067255488e-07,6.48775909912398e-07,6.18790528454652,Up-regulated
PHKB,1.17210315156491,1.59789722859989e-05,2.22630700543608e-05,4.65241494711124,Up-regulated
