gene,log2FC,pVal,adj.p,-Log10(adj.P),expression
PRDX5,0.973205018996292,5.38595420272818e-15,4.93712468583416e-14,13.3065259046448,NS.
ORMDL3,0.973204841978194,9.22771234310621e-07,3.65263613581288e-06,5.43739358869126,NS.
SUMO2,0.973029420519967,1.62037419724189e-62,1.12886069074518e-59,58.9473596497257,NS.
SNRPE,0.972616873226792,1.68388716663914e-12,1.26140651551104e-11,10.8991449300866,NS.
UPF3A,0.971609051696296,5.78848190226172e-06,2.04702659487766e-05,4.68887651496642,NS.
HSD17B8,0.971364431374621,0.00106100544642333,0.00240509911390973,2.61886702168635,NS.
COX6A1,0.971078707478444,3.07745232154701e-53,7.14652816892584e-51,50.1459048901244,NS.
FH,0.970719893533899,0.00178163511265677,0.00385867086575404,2.41356226399997,NS.
GLUD1,0.970154299728103,3.92855832625423e-06,1.42299599685812e-05,4.84679632166194,NS.
ADI1,0.969632282888894,2.15547635936211e-08,1.07260609311114e-07,6.9695597402864,NS.
MED15,0.969594093587665,5.4558135238e-07,2.23581377740039e-06,5.65056437199108,NS.
HNRNPUL1,0.968374421087808,7.61833046285201e-12,5.4342357226487e-11,10.2648615269735,NS.
RPP14,0.967824605925494,0.00721971570121812,0.0132827515981918,1.87671194905485,NS.
NDUFB1,0.96750978194077,8.98376969727208e-16,8.81506040718246e-15,14.0547747072539,NS.
COX5B,0.967197346574557,2.92486343432321e-42,3.21734977775553e-40,39.4925017217242,NS.
CPSF1,0.966311363339288,0.0128470356694705,0.0223380237514088,1.65095525162429,NS.
NAPRT,0.965863434268012,0.00579533054136755,0.0109119286769893,1.96209848133232,NS.
EXOC4,0.964297266094009,0.000383433182112242,0.000959269904273051,3.01805918068709,NS.
GPAM,0.964297263326816,0.190201823400931,0.243728884676852,0.613092998872691,NS.
DHX16,0.964297263175422,0.00480951886859089,0.00922192150032565,2.03517857894165,NS.
MDH2,0.963906103380355,1.22887330187004e-13,1.01515620589264e-12,11.9934671260881,NS.
ELOVL1,0.963124242594754,6.73698869924547e-06,2.34671773023717e-05,4.62953914541322,NS.
GUK1,0.962807073330222,4.31783307702773e-23,6.18100762396436e-22,21.2089407207273,NS.
TNFAIP8L1,0.962733541207271,0.00670607553357049,0.0123923058047412,1.90684787803831,NS.
HNRNPD,0.962569081038083,3.73607379546467e-11,2.5026904591414e-10,9.60159286201781,NS.
SLC25A13,0.962287428046862,0.0214796809522849,0.0350722915549026,1.4550358572398,NS.
UQCRH,0.961963695425276,1.93834009347251e-26,3.61708106728353e-25,24.4416417575698,NS.
ATP5MC2,0.961306155546807,3.30275850874609e-44,4.31422830204957e-42,41.3650968764572,NS.
KPNB1,0.960058559199664,8.86138525985026e-11,5.69855236710371e-10,9.24423545640255,NS.
POLR3D,0.959613415654992,0.00470025409665895,0.00905394567927854,2.04316211545821,NS.
CNOT1,0.95931248499598,1.22516506300586e-06,4.75947022617516e-06,5.32244138565203,NS.
MED27,0.959029473401118,0.000176284012759201,0.000478982843628312,3.31968004201548,NS.
ZC3H11A,0.958279190934564,0.000603233191751439,0.00145690370174213,2.83656915322942,NS.
NDUFS3,0.95797923676611,3.61683684583413e-09,1.97382064799366e-08,7.70469231221622,NS.
PLEKHA1,0.95774599969243,0.000518010613841043,0.00126476890528946,2.89798882020046,NS.
POLR2B,0.957505296843032,5.63060678130545e-07,2.29843128377508e-06,5.6385684758264,NS.
