gene,log2FC,pVal,adj.p,-Log10(adj.P),expression
TYMS,2.88446337685396,4.88439971709466e-06,1.92692252575493e-05,4.71513574632717,Up-regulated
TK1,2.74719524551697,2.59474885115241e-10,1.5743912747555702e-09,8.80288732575725,Up-regulated
RRM2,2.71594270180435,3.76046039643143e-05,0.0001306456724824,3.88390497130297,Up-regulated
BGN,2.67366721888081,5.92050994662483e-13,4.30837108953712e-12,11.3656868970181,Up-regulated
HACD1,2.66269817705441,5.95692053784483e-10,3.52505682376861e-09,8.45283387780727,Up-regulated
DHFR,2.49872576938441,1.4686427917409202e-14,1.20131766938207e-13,12.9203421351307,Up-regulated
GCSH,2.26168831274679,3.09989042183555e-08,1.58226634327815e-07,6.80072040978907,Up-regulated
PFAS,2.26168743012628,3.14660111470023e-06,1.27882618888006e-05,4.893188478461,Up-regulated
APOM,2.22659611055712,2.76443026056971e-05,9.76161111683141e-05,4.01047849776312,Up-regulated
NME1,2.16452368129544,4.18264254991102e-16,3.7696284738528605e-15,14.4237014507774,Up-regulated
GNG4,2.16452368112271,2.79942700612527e-06,1.15075682656371e-05,4.93901644008799,Up-regulated
CAV1,2.11779325005736,0.0060830809029201,0.0143830474916465,1.84214908553987,Up-regulated
SUV39H2,2.11045648426142,6.09270678803515e-06,2.37748014883669e-05,4.62388310058894,Up-regulated
LTC4S,2.11045648426137,6.09270678810517e-06,2.37748014883669e-05,4.62388310058894,Up-regulated
BYSL,2.11045646118377,1.07016182960858e-06,4.57366781939857e-06,5.33973538092755,Up-regulated
MGST1,2.04427454750599,0.0035282945687458,0.0087142863576037,2.05976817294241,Up-regulated
PHGDH,2.0290651344829,1.87651949704427e-08,9.73981444971894e-08,7.01144931665637,Up-regulated
PXMP2,1.99202386465651,4.94762335845424e-12,3.30968345158709e-11,10.4802135415122,Up-regulated
DUT,1.98142741945886,7.031744879510229e-42,4.32753670584715e-40,39.3637592397832,Up-regulated
NQO1,1.97758317864757,0.0001452938590015,0.0004562142453196,3.340831157974,Up-regulated
PSPH,1.95630584914757,8.54764172389173e-06,3.25869385367483e-05,4.48695643852381,Up-regulated
PAICS,1.95210409334662,1.61929639962423e-11,1.0537656932902101e-10,9.97725594455359,Up-regulated
BCAT1,1.94974837966989,9.19447338773087e-06,3.49909817617885e-05,4.45604387209995,Up-regulated
NUDT2,1.94695117507755,4.10597428955464e-20,4.679507206190841e-19,18.3297998795969,Up-regulated
GPAT2,1.93033029379696,0.0086624295746637,0.0195646498492764,1.7085279203106,Up-regulated
ACP6,1.90501376249302,3.66834388803138e-05,0.0001280650362207,3.89256942333124,Up-regulated
SORD,1.89789502170508,2.30308240665771e-05,8.22693118398126e-05,4.08476213543262,Up-regulated
AGMAT,1.89596265029891,1.77850660575122e-08,9.27579474282838e-08,7.03264887010771,Up-regulated
CSGALNACT1,1.88520985851893,1.69365793650564e-07,8.05328740669567e-07,6.09402680147697,Up-regulated
PLOD1,1.8825396300836,2.30885964459557e-07,1.06952337085137e-06,5.97080972093734,Up-regulated
SRD5A3,1.87684161368659,3.55384542348931e-06,1.42816847802164e-05,4.84522055673411,Up-regulated
ACOT7,1.84155213189543,1.48200905517258e-11,9.6734772873992e-11,10.0144173836967,Up-regulated
ALYREF,1.83057989103209,1.39735814147124e-12,9.804265266218389e-12,11.0085849469001,Up-regulated
GNA15,1.82805144467649,0.0004357290072122,0.0012752177738248,2.89441564276394,Up-regulated
NME2,1.82133750673721,2.52633376274646e-60,1.81390764165196e-57,56.7413848295924,Up-regulated
GPAT3,1.78722944881204,0.0186589352626997,0.0382140630896671,1.41777678372981,Up-regulated
ADAL,1.76525054349462,4.81089470827281e-05,0.0001642261046215,3.78455780828846,Up-regulated
GGH,1.7508618049987,0.0027814720008925,0.0070155628687617,2.15393747916297,Up-regulated
FDXR,1.73526971122576,1.75264316744103e-05,6.36626202810788e-05,4.19611549027998,Up-regulated
UROD,1.73447910098737,3.49147589398795e-19,3.79830256345962e-18,17.4204104433886,Up-regulated
DPM2,1.71139137399009,3.54824606828639e-23,4.99537387652868e-22,21.3014320016448,Up-regulated
MAOB,1.71026843354728,0.0001158268492336,0.0003700354878714,3.43175662337176,Up-regulated
GAPDH,1.70904882752668,6.09914037029724e-80,1.3137548357620201e-76,75.8814856723788,Up-regulated
PIP5K1B,1.70718674248272,0.0003144575166052,0.0009329772600105,3.03012894143282,Up-regulated
DCTPP1,1.66712109228149,6.1827547082091e-13,4.4690112890880495e-12,11.3497885482749,Up-regulated
DHFR2,1.66206631887054,0.0002026784049542,0.0006218935673383,3.2062839353619,Up-regulated
PLEKHA1,1.6575516412609,1.49478958810255e-05,5.5133163917344e-05,4.25858708402325,Up-regulated
GM2A,1.64746757524013,1.33410665694968e-05,4.95459610184416e-05,4.30499174337646,Up-regulated
SPHK1,1.63716858186979,0.0002635089422552,0.0007938437225423,3.10026498512659,Up-regulated
MMAB,1.63088337976553,1.03762733128861e-06,4.46117619080971e-06,5.35055062428464,Up-regulated
NUP85,1.62471052065859,2.33604728777584e-10,1.4214253835788602e-09,8.84727593326548,Up-regulated
DHRS4L2,1.61733041368593,0.0001239347545114,0.000392470660279,3.40619280402748,Up-regulated
GALK1,1.6128762248278,6.90658067072325e-16,6.17293558702816e-15,14.2095082547588,Up-regulated
EPM2A,1.60490803713347,0.0083656317559382,0.0190280591742316,1.72060550666341,Up-regulated
DPP4,1.60490803713331,0.008365632329618,0.0190280591742316,1.72060550666341,Up-regulated
AIMP2,1.60490792227728,2.05342694344626e-14,1.63213344508607e-13,12.7872443357199,Up-regulated
HMBS,1.60490790480454,7.90423414160064e-05,0.0002607307862328,3.58380768574125,Up-regulated
ALKBH8,1.60490789402988,1.11712374886056e-05,4.18484270442719e-05,4.37832086117923,Up-regulated
FXN,1.60490789336234,0.0165514520573683,0.0345798523099625,1.46117686592344,Up-regulated
NUDT1,1.59454511057323,4.0658236390293797e-22,5.15163771674663e-21,20.2880546858559,Up-regulated
B4GALT5,1.58795833560133,1.54984534771434e-07,7.4517117834301e-07,6.12774395104989,Up-regulated
DTYMK,1.5865587544983,2.72020701325015e-08,1.39176387328761e-07,6.85643444089422,Up-regulated
EBP,1.58396471951745,1.48884801609027e-17,1.46437380212714e-16,15.8343480493162,Up-regulated
SLC25A17,1.57042173069465,1.21372984914923e-10,7.57789592773173e-10,9.12045136347409,Up-regulated
DHRS3,1.56868236242144,0.0098279336838193,0.0218240919123163,1.6610638179855,Up-regulated
LAMTOR2,1.56052417420321,8.741930300552709e-29,1.94124926467944e-27,26.7119186957686,Up-regulated
DERA,1.56045613079163,6.41289431185053e-10,3.774145996646461e-09,8.42318130387656,Up-regulated
SHMT2,1.54335000097585,2.11634243331463e-13,1.5883629273030398e-12,11.7990502580068,Up-regulated
CARNS1,1.53344893945722,0.0114749245777392,0.0251444430726858,1.59955797917759,Up-regulated
MORC2,1.53344893945721,0.0114749245777392,0.0251444430726858,1.59955797917759,Up-regulated
IMPA2,1.53344892938022,0.0204233830857222,0.0415406942333993,1.3815262497553,Up-regulated
POLA2,1.53000701655693,5.98482010353713e-05,0.0002007991044083,3.69723822853578,Up-regulated
MAGOHB,1.53000669336545,6.6647056866001e-13,4.78525868297887e-12,11.3200945800285,Up-regulated
ESYT2,1.522536688188,3.93737493232202e-10,2.36242495939321e-09,8.62664197762887,Up-regulated
ACADS,1.51513370608407,2.00785968221848e-07,9.38162636767591e-07,6.02772186724132,Up-regulated
