gene,log2FC,pVal,adj.p,-Log10(adj.P),expression
GNB4,2.04354590527053,0.0002238845871776,0.0007368142010847,3.13264201229912,Up-regulated
B4GAT1,1.87446957802567,9.99455888856469e-05,0.0003648675885643,3.43786471359573,Up-regulated
DHRS3,1.85872119922151,0.0014073638844284,0.003712006417661,2.43039128160394,Up-regulated
STARD10,1.82040233523229,2.91694181896531e-06,1.39822971974315e-05,4.85442147106463,Up-regulated
CSGALNACT1,1.77915937621164,2.49581351393646e-07,1.42571730524091e-06,5.84596657893365,Up-regulated
APOBEC3H,1.76910904066132,7.1768945837009e-08,4.60030597588967e-07,6.33721328153121,Up-regulated
PIK3R5,1.76081023797962,4.93328877581898e-13,5.69523651868107e-12,11.244488235303,Up-regulated
FDXR,1.72786613400428,4.61191027710765e-08,3.09096114316789e-07,6.50990645446883,Up-regulated
CHST7,1.71084013402563,1.22000745512036e-10,1.14473039937889e-09,8.94129678393433,Up-regulated
METTL1,1.69214799965667,0.0012109449426824,0.0032365255740786,2.4899209569645,Up-regulated
NPL,1.68687096627905,0.0010598558328829,0.0028840933539205,2.53999068624235,Up-regulated
SRD5A3,1.67379907073649,0.0001636281947829,0.0005611200147687,3.25094424003188,Up-regulated
ST6GALNAC3,1.67379886098605,0.0050751521653105,0.0116448600671278,1.93386572588751,Up-regulated
PLD2,1.62934709841607,0.0059762030182315,0.0133917963975616,1.87316116210527,Up-regulated
SLC27A2,1.61088503557853,0.0040050306333024,0.0093945168062515,2.02712555231441,Up-regulated
PTGR2,1.58678749914635,0.0010250176650778,0.0028041736370924,2.55219509794634,Up-regulated
PLD6,1.58678748399752,0.0020374318684498,0.0051460908017548,2.28852255501779,Up-regulated
HMBS,1.55169616774652,7.3675380739603e-08,4.69520851245158e-07,6.32834511611431,Up-regulated
PLPP6,1.53275996927992,0.0004878921852134,0.0014459707908542,2.83984047986233,Up-regulated
AFMID,1.53272026421259,0.0136438385638228,0.0278561704011382,1.5550785895622,Up-regulated
CHST2,1.50035497821606,8.79779582037394e-06,3.91111689192027e-05,4.40769920405367,Up-regulated
HYAL2,1.48142696842472,0.0167529653347541,0.0332196839596517,1.47860450358939,Up-regulated
PLA2G16,1.477861902177,5.267651241292259e-11,5.05007434219541e-10,9.29670222858083,Up-regulated
SRR,1.46162434106534,0.0022866767968448,0.0057037582998222,2.24383888625534,Up-regulated
PIGV,1.45325930644711,0.000331076625481,0.0010384409092257,2.98361821123993,Up-regulated
FABP5,1.43519680556933,1.29520205833404e-18,3.20889948160286e-17,16.4936438869148,Up-regulated
DBT,1.43263680424804,0.0001280470976931,0.0004539290199572,3.34301205166029,Up-regulated
SUOX,1.43263680417342,0.0124933918696581,0.025915267236685,1.58644430838265,Up-regulated
DDAH2,1.41688844720819,0.0003944929144696,0.001204773471415,2.91909460401267,Up-regulated
CERS4,1.39067190430293,8.23386626840603e-09,6.11302192654387e-08,7.21374404645463,Up-regulated
HILPDA,1.38611615021573,0.0243506414605743,0.0454271561924196,1.34268444981529,Up-regulated
PCBD2,1.38045105595852,1.56726205119442e-05,6.64579389016096e-05,4.17745313187371,Up-regulated
IDNK,1.34562500090647,3.73971092148176e-05,0.0001469886378229,3.83271623478591,Up-regulated
GCSH,1.34166446687896,0.000159245559395,0.0005469415240903,3.2620591035065,Up-regulated
ACER3,1.33547305573335,2.21921239821731e-05,9.07859617452535e-05,4.04198130134585,Up-regulated
